Countries,gdp_usd,human_capital_index,total_deaths,total_recoveries,total_tested,total_active_cases,mean_smoking_prevalence,mean_diabetes_prevalence,mean_hospital_beds_per_1000,mean_nurses_per_1000,mean_physicians_per_1000,mean_health_expenditure_usd,population,population_density,human_development_index,mobility_residential,mobility_workplaces,mobility_transit_stations,mobility_grocery_and_pharmacy,mobility_parks,total_vaccinated
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.25,0.0,0.21,0.4,0.39,0.0,0.01,0.9,0.17,0.54,0.43,0.12,0.23,0.0
United Arab Emirates,0.02,0.75,0.0,0.0,0.18,0.01,0.61,0.53,0.0,0.29,0.3,0.13,0.01,0.0,0.9,0.57,0.43,0.26,0.25,0.11,0.01
Afghanistan,0.0,0.44,0.01,0.0,0.0,0.0,0.0,0.3,0.04,0.01,0.03,0.01,0.03,0.0,0.52,0.3,0.53,0.32,0.73,0.45,0.01
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.23,0.35,0.07,0.0,0.01,0.82,0.26,0.16,0.12,0.18,0.53,0.0
Albania,0.0,0.7,0.0,0.0,0.0,0.0,0.61,0.3,0.0,0.19,0.14,0.0,0.0,0.0,0.8,0.17,0.54,0.43,0.12,0.23,0.0
Armenia,0.0,0.65,0.01,0.0,0.0,0.0,0.51,0.2,0.37,0.31,0.52,0.04,0.0,0.0,0.78,0.17,0.54,0.43,0.12,0.23,0.0
Angola,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.02,0.03,0.01,0.02,0.0,0.61,0.35,0.66,0.6,0.37,0.57,0.01
Argentina,0.02,0.69,0.13,0.0,0.03,0.11,0.46,0.19,0.0,0.13,0.47,0.13,0.03,0.0,0.86,0.52,0.5,0.24,0.17,0.0,0.02
Austria,0.02,0.9,0.02,0.02,0.22,0.05,0.63,0.22,0.0,0.36,0.61,0.48,0.01,0.0,0.95,0.4,0.14,0.22,0.11,0.43,0.01
Australia,0.07,0.91,0.01,0.0,0.09,0.11,0.31,0.18,0.0,0.64,0.44,0.52,0.02,0.0,0.98,0.48,0.27,0.03,0.15,0.15,0.02
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.24,0.31,0.06,0.15,0.41,0.0
Azerbaijan,0.0,0.68,0.01,0.0,0.0,0.01,0.44,0.2,0.0,0.0,0.0,0.03,0.01,0.0,0.78,0.17,0.54,0.43,0.12,0.23,0.0
Bosnia and Herzegovina,0.0,0.7,0.02,0.0,0.0,0.0,0.83,0.3,0.0,0.29,0.26,0.04,0.0,0.0,0.77,0.0,0.39,0.31,0.32,0.38,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.44,0.0,0.16,0.29,0.12,0.0,0.03,0.84,0.4,0.16,0.1,0.08,0.34,0.0
Bangladesh,0.01,0.54,0.03,0.0,0.02,0.02,0.49,0.3,0.07,0.02,0.07,0.0,0.11,0.05,0.66,0.55,0.81,0.68,0.43,0.42,0.13
Belgium,0.03,0.86,0.03,0.0,0.04,0.05,0.6,0.15,0.0,1.0,0.36,0.44,0.01,0.01,0.97,0.52,0.14,0.2,0.17,0.48,0.01
Burkina Faso,0.0,0.42,0.0,0.0,0.0,0.0,0.27,0.24,0.0,0.05,0.01,0.0,0.01,0.0,0.44,0.41,0.95,0.8,0.83,0.82,0.0
Bulgaria,0.0,0.76,0.04,0.0,0.0,0.01,0.79,0.2,0.0,0.25,0.48,0.06,0.0,0.0,0.82,0.22,0.19,0.48,0.2,0.42,0.0
Bahrain,0.0,0.76,0.0,0.0,0.01,0.01,0.56,0.51,0.0,0.13,0.11,0.11,0.0,0.09,0.86,0.54,0.33,0.39,0.12,0.09,0.0
Burundi,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.04,0.01,0.0,0.01,0.02,0.44,0.17,0.54,0.43,0.12,0.23,0.0
Benin,0.0,0.46,0.0,0.0,0.0,0.0,0.14,0.03,0.0,0.02,0.01,0.0,0.01,0.0,0.54,0.43,0.73,0.47,0.71,0.73,0.0
